fid,DN,Area,fid_2,Area_2,EOBS_ID,piece_area,frac_in
1,"8514",10000223564.000,8,1797474417.000,"158",7119096.371,0.004
1,"8514",10000223564.000,9,1797474182.000,"179",15888607.080,0.009
1,"8514",10000223564.000,14,1819296821.000,"157",1819296821.000,1.000
1,"8514",10000223564.000,15,1819296581.000,"178",1819296581.000,1.000
1,"8514",10000223564.000,16,1819296343.000,"199",1241724097.000,0.683
1,"8514",10000223564.000,31,1840974929.000,"137",556423782.300,0.302
1,"8514",10000223564.000,32,1840974680.000,"156",1412962738.000,0.768
1,"8514",10000223564.000,33,1840974433.000,"177",1403815553.000,0.763
1,"8514",10000223564.000,34,1840974190.000,"198",950377458.100,0.516
2,"9910",10000223697.000,16,1819296343.000,"199",577570540.800,0.317
2,"9910",10000223697.000,17,1819296107.000,"219",1819296107.000,1.000
2,"9910",10000223697.000,34,1840974190.000,"198",451606334.800,0.245
2,"9910",10000223697.000,35,1840973949.000,"218",1407471191.000,0.765
2,"9910",10000223697.000,36,1840973711.000,"238",1420275373.000,0.771
2,"9910",10000223697.000,37,1840973475.000,"256",1073573517.000,0.583
3,"6765",10000224775.000,18,1819295418.000,"277",1773784117.000,0.975
3,"6765",10000224775.000,19,1819295193.000,"296",1740422343.000,0.957
3,"6765",10000224775.000,20,1819294971.000,"313",1505881682.000,0.828
3,"6765",10000224775.000,37,1840973475.000,"256",366829330.600,0.199
3,"6765",10000224775.000,38,1840973242.000,"276",1467860353.000,0.797
3,"6765",10000224775.000,39,1840973012.000,"295",1502658915.000,0.816
3,"6765",10000224775.000,40,1840972785.000,"312",1255547218.000,0.682
4,"3647",10000226768.000,20,1819294971.000,"313",194134322.500,0.107
4,"3647",10000226768.000,21,1819294752.000,"331",1652533287.000,0.908
4,"3647",10000226768.000,40,1840972785.000,"312",289267200.200,0.157
4,"3647",10000226768.000,41,1840972560.000,"330",1594333209.000,0.866
4,"3647",10000226768.000,42,1840972339.000,"349",1651243237.000,0.897
4,"3647",10000226768.000,43,1840972120.000,"367",1508963084.000,0.820
5,"6822",10000240108.000,30,1840975434.000,"102",356621926.700,0.194
5,"6822",10000240108.000,31,1840974929.000,"137",254683133.900,0.138
5,"6822",10000240108.000,56,1862507431.000,"84",720581516.000,0.387
5,"6822",10000240108.000,57,1862507169.000,"101",1862507169.000,1.000
5,"6822",10000240108.000,58,1862506909.000,"119",1862506909.000,1.000
5,"6822",10000240108.000,59,1862506651.000,"136",1198207620.000,0.643
5,"6822",10000240108.000,85,1883891449.000,"83",373979495.500,0.199
5,"6822",10000240108.000,86,1883891180.000,"100",1091561204.000,0.579
5,"6822",10000240108.000,87,1883890914.000,"118",1059119663.000,0.562
5,"6822",10000240108.000,88,1883890650.000,"135",691885839.400,0.367
6,"9856",10000239452.000,31,1840974929.000,"137",156860849.600,0.085
6,"9856",10000239452.000,32,1840974680.000,"156",428011941.200,0.232
6,"9856",10000239452.000,33,1840974433.000,"177",437158880.200,0.237
6,"9856",10000239452.000,34,1840974190.000,"198",296740154.000,0.161
6,"9856",10000239452.000,59,1862506651.000,"136",664295722.300,0.357
6,"9856",10000239452.000,60,1862506396.000,"155",1862506396.000,1.000
6,"9856",10000239452.000,61,1862506144.000,"176",1862506144.000,1.000
6,"9856",10000239452.000,62,1862505895.000,"197",1252413766.000,0.672
6,"9856",10000239452.000,88,1883890650.000,"135",342435025.700,0.182
6,"9856",10000239452.000,89,1883890390.000,"154",1017161231.000,0.540
6,"9856",10000239452.000,90,1883890132.000,"175",1007628670.000,0.535
6,"9856",10000239452.000,91,1883889876.000,"196",672298833.200,0.357
7,"3454",10000239560.000,34,1840974190.000,"198",142248280.500,0.077
7,"3454",10000239560.000,35,1840973949.000,"218",433502758.100,0.235
7,"3454",10000239560.000,36,1840973711.000,"238",420698337.100,0.229
7,"3454",10000239560.000,37,1840973475.000,"256",293314827.500,0.159
7,"3454",10000239560.000,62,1862505895.000,"197",610089900.300,0.328
